Year,CO2.RCP4.5,CO2.RCP6,CO2.RCP8.5
1950,310.75,310.75,310.75
1951,311.1,311.1,311.1
1952,311.5,311.5,311.5
1953,311.925,311.925,311.925
1954,312.425,312.425,312.425
1955,313,313,313
1956,313.6,313.6,313.6
1957,314.225,314.225,314.225
1958,314.8475,314.8475,314.8475
1959,315.98,315.98,315.98
1960,316.91,316.91,316.91
1961,317.64,317.64,317.64
1962,318.45,318.45,318.45
1963,318.99,318.99,318.99
1964,319.62,319.62,319.62
1965,320.04,320.04,320.04
1966,321.37,321.37,321.37
1967,322.18,322.18,322.18
1968,323.05,323.05,323.05
1969,324.62,324.62,324.62
1970,325.68,325.68,325.68
1971,326.32,326.32,326.32
1972,327.46,327.46,327.46
1973,329.68,329.68,329.68
1974,330.19,330.19,330.19
1975,331.12,331.12,331.12
1976,332.03,332.03,332.03
1977,333.84,333.84,333.84
1978,335.41,335.41,335.41
1979,336.84,336.84,336.84
1980,338.76,338.76,338.76
1981,340.12,340.12,340.12
1982,341.48,341.48,341.48
1983,343.15,343.15,343.15
1984,344.85,344.85,344.85
1985,346.35,346.35,346.35
1986,347.61,347.61,347.61
1987,349.31,349.31,349.31
1988,351.69,351.69,351.69
1989,353.2,353.2,353.2
1990,354.45,354.45,354.45
1991,355.7,355.7,355.7
1992,356.54,356.54,356.54
1993,357.21,357.21,357.21
1994,358.96,358.96,358.96
1995,360.97,360.97,360.97
1996,362.74,362.74,362.74
1997,363.88,363.88,363.88
1998,366.84,366.84,366.84
1999,368.54,368.54,368.54
2000,369.71,369.71,369.71
2001,371.32,371.32,371.32
2002,373.45,373.45,373.45
2003,375.98,375.98,375.98
2004,377.7,377.7,377.7
2005,379.98,379.98,379.98
2006,382.09,382.09,382.09
2007,384.02,384.02,384.02
2008,385.83,385.83,385.83
2009,387.64,387.64,387.64
2010,390.1,390.1,390.1
2011,391.85,391.85,391.85
2012,394.06,394.06,394.06
2013,396.74,396.74,396.74
2014,398.87,398.87,398.87
2015,401.01,401.01,401.01
2016,404.41,404.41,404.41
2017,406.76,406.76,406.76
2018,408.72,408.72,408.72
2019,411.66,411.66,411.66
2020,414.24,414.24,414.24
2021,413.37804,411.29764,418.79629
2022,415.63944,413.21903,421.86439
2023,417.93551,415.14445,424.99469
2024,420.27395,417.08292,428.19734
2025,422.65593,419.03635,431.47473
2026,425.07983,421.0038,434.82619
2027,427.53791,422.97812,438.24456
2028,430.0206,424.95028,441.7208
2029,432.5234,426.91631,445.25085
2030,435.04594,428.87629,448.83485
2031,437.58886,430.832,452.47359
2032,440.13137,432.80746,456.177
2033,442.66419,434.83148,459.96398
2034,445.20699,436.91619,463.85181
2035,447.76978,439.06785,467.85003
2036,450.35539,441.28581,471.96047
2037,452.96337,443.5672,476.18237
2038,455.58649,445.90288,480.50799
2039,458.2152,448.28176,484.92724
2040,460.84499,450.69811,489.43545
2041,463.47549,453.15021,494.03235
2042,466.09336,455.64509,498.7297
2043,468.67807,458.18181,503.52959
2044,471.23389,460.76247,508.43266
2045,473.78031,463.4053,513.45614
2046,476.32819,466.11968,518.61062
2047,478.88085,468.90757,523.90006
2048,481.43826,471.76784,529.32418
2049,483.99308,474.69236,534.8752
2050,486.53532,477.67043,540.54279
2051,489.06035,480.69694,546.32201
2052,491.53558,483.77696,552.21189
2053,493.93186,486.9156,558.2122
2054,496.24365,490.1025,564.31311
2055,498.47436,493.33845,570.51669
2056,500.64502,496.64173,576.84343
2057,502.76788,500.02229,583.30471
2058,504.84729,503.48287,589.90539
2059,506.88408,507.02296,596.64656
2060,508.87135,510.63443,603.52045
2061,510.79905,514.30531,610.5165
2062,512.64717,518.02671,617.60526
2063,514.40151,521.79702,624.76367
2064,516.06461,525.61935,631.99471
2065,517.62854,529.48604,639.29052
2066,519.09606,533.3998,646.65274
2067,520.48828,537.38147,654.09843
2068,521.81772,541.44308,661.64491
2069,523.08871,545.58888,669.30474
2070,524.30217,549.81989,677.07762
2071,525.45089,554.12904,684.95429
2072,526.50901,558.48622,692.90196
2073,527.45707,562.86724,700.89416
2074,528.29593,567.27205,708.93159
2075,529.02718,571.70141,717.01548
2076,529.64253,576.14574,725.13597
2077,530.14419,580.6064,733.30667
2078,530.55341,585.10462,741.52368
2079,530.88313,589.65317,749.80466
2080,531.13797,594.25683,758.1823
2081,531.31935,598.9179,766.64451
2082,531.48991,603.53811,775.17446
2083,531.70213,608.01988,783.75141
2084,531.94208,612.36372,792.36578
2085,532.20472,616.57173,801.0188
2086,532.48672,620.64773,809.71464
2087,532.77553,624.58304,818.42214
2088,533.06978,628.38085,827.15719
2089,533.38792,632.06458,835.95594
2090,533.74072,635.64876,844.80471
2091,534.13086,639.14086,853.72536
2092,534.55754,642.59729,862.72597
2093,535.01142,646.06094,871.7768
2094,535.47962,649.51513,880.86435
2095,535.95487,652.95074,889.98162
2096,536.4351,656.36419,899.12407
2097,536.91986,659.75421,908.28871
2098,537.39855,663.10742,917.47137
2099,537.87136,666.42313,926.66527
2100,538.3583,669.72317,935.87437
